file,window_idx,mean_ax_m/s/s,mean_ay_m/s/s,mean_az_m/s/s,mean_gx_deg/s,mean_gy_deg/s,mean_gz_deg/s,std_ax_m/s/s,std_ay_m/s/s,std_az_m/s/s,std_gx_deg/s,std_gy_deg/s,std_gz_deg/s,sma,dominant_freq_ax_m/s/s,dominant_freq_ay_m/s/s,dominant_freq_az_m/s/s,dominant_freq_gx_deg/s,dominant_freq_gy_deg/s,dominant_freq_gz_deg/s,activity
C012_1585,1,0.7970160532201683,9.40910327243487,1.6336962882522301,0.18012408837781732,0.32181952202169223,-0.1134530669629958,0.3864646625100548,1.24113224478545,0.16655978879833175,0.053155639034470244,0.25463865633275984,0.14125726259809354,11.839815613907268,2.0000000000000426,4.000000000000085,2.0000000000000426,2.0000000000000426,2.0000000000000426,4.000000000000085,walk
C012_1585,2,1.2307929705627672,9.24180669336997,1.621604771035375,0.09689691432660083,0.22055601392349874,-0.053442225731296505,0.49087441906117213,1.6310200016552066,0.2501428415184933,0.12398842528283918,0.46221332863114833,0.2018484188787441,12.09420443496811,2.0000000000000426,4.000000000000085,4.000000000000085,2.0000000000000426,2.0000000000000426,2.0000000000000426,walk
C012_1585,3,1.0053591210222461,9.94179861179542,1.444895011976699,-0.04098326776026503,-0.2241715921519822,0.034108663440695824,0.6997969025376267,1.4536140966586213,0.33616844433173865,0.046668449987636744,0.5051104511668235,0.14533416388567186,12.457125363397733,2.0000000000000426,2.0000000000000426,2.0000000000000426,6.000000000000128,4.000000000000085,2.0000000000000426,walk
C013_1585,0,1.5717015746139507,9.245290488829943,1.3646190174051032,0.17782309113872807,-0.009034253284542904,-0.11437429090450481,0.4374142105166439,0.9982841436759105,0.13605335256847434,0.06482990125645376,0.4115984966912936,0.0855495799000159,12.181611080848997,2.0000000000000426,4.000000000000085,2.0000000000000426,4.000000000000085,4.000000000000085,4.000000000000085,walk
C013_1585,1,1.500630257394859,9.991450273415493,1.3541699978154638,0.12415113741770355,0.10369358426239444,-0.09981566782611194,0.5613793462557018,1.10099494944091,0.1904889081739045,0.1383922048984943,0.48201754731885793,0.10626481344711541,12.847562853302883,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,4.000000000000085,walk
C013_1585,2,0.4175570635095317,9.933883474774667,0.9340769259895353,-0.10405131438069926,-0.2287571283319613,-0.04321642025941214,0.8397883478278129,0.9510852899940634,0.5799844083068126,0.22253120884359268,0.7016573081442672,0.08052509191849294,11.6283945982776,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,4.000000000000085,walk
C101_1585,0,1.4172286412998785,9.162818597530654,2.1032972218087003,0.012867022527417908,-0.04161323216207571,-0.039285161840265245,0.3554169813360828,0.5696185344196865,0.5727960999511206,0.0714320786535822,0.18310825820424895,0.12538375352741946,12.683344460639232,2.0000000000000426,6.000000000000128,2.0000000000000426,2.0000000000000426,2.0000000000000426,4.000000000000085,walk
C101_1585,1,2.2857429514019514,9.206734974350013,1.8055812720263809,-0.016868803170000137,-0.1500464516879215,0.053393936839617885,0.6993843398074695,1.2501403554449075,0.9199335047974166,0.0956029202423699,0.255683974678359,0.19563394564018444,13.298059197778349,2.0000000000000426,4.000000000000085,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,walk
C101_1585,2,2.1996242564846895,9.564641740245598,1.2831371169502637,0.03582367329614125,0.2572439596468552,-0.003894423055074636,1.0807338367604158,1.5815474314571911,0.559824918203402,0.1310848238527356,0.688714549992716,0.23516383703420146,13.063254498170068,2.0000000000000426,4.000000000000085,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,walk
C102_1585,0,1.1825743032975187,9.319408810699258,1.3113252659145627,-0.041865606521507635,-0.2305098737536142,-0.07983456276360691,0.15318004377600147,0.23083725995388465,0.1249025190513358,0.11072112169840793,0.32045512290478584,0.07004310356815359,11.813308379911339,2.0000000000000426,4.000000000000085,4.000000000000085,2.0000000000000426,2.0000000000000426,2.0000000000000426,walk
C102_1585,1,1.0908433061896696,9.255200434368957,1.5257949568239064,0.000526100594890238,-0.398352564431939,-0.2620898933154121,0.20302701146216615,0.6415121048354224,0.3571442216143799,0.1508618940261697,0.28954257053397375,0.15238137317285969,11.871838697382533,2.0000000000000426,4.000000000000085,4.000000000000085,2.0000000000000426,4.000000000000085,2.0000000000000426,walk
C102_1585,2,1.2525469372060487,9.549639094182378,2.0524108752435795,0.1586270749668813,-0.4247696426118264,-0.4876643754530115,0.3318997306957947,0.877145609725174,0.5649783257297487,0.1151858933791226,0.24067280798305796,0.17691972092419578,12.854596906632002,2.0000000000000426,2.0000000000000426,4.000000000000085,2.0000000000000426,2.0000000000000426,2.0000000000000426,walk
C103_1585,0,1.0589121461283661,9.403027327961444,1.4906532487424662,-0.08264045705503001,-0.29659955321230486,-0.012480562185956697,0.3498373973865129,0.3251746123620231,0.2077959451868664,0.2036749962468474,0.44612111733573173,0.15833779774726958,11.952592722832275,2.0000000000000426,4.000000000000085,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,walk
C103_1585,1,0.9313751002699684,9.260809317551278,1.6943443427978742,0.03673977771446213,-0.6083849614123557,-0.39536420610413,0.48197334727188396,0.4856537424202278,0.21775222857899457,0.30914870781897247,0.310923347839263,0.4855351585899162,11.886528760619122,2.0000000000000426,4.000000000000085,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,walk
C103_1585,2,1.2488673084153215,9.879648959770766,2.175236707675048,0.2459272854059778,-0.5150905025929761,-0.5977768516944847,0.5441514833175459,0.9518114339866769,0.3735985287164765,0.0993027043641013,0.2440520832396891,0.36279299152673333,13.303752975861137,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,walk
C111_1585,0,0.8867741322200896,9.406735986295654,1.6322143623463328,0.04382438447048895,-0.12021823788694012,-0.048268476402372903,0.2089399046487189,0.055438179070051004,0.2835637847418095,0.031525023551774424,0.17124106928738783,0.06638364206611153,11.925724480862078,2.0000000000000426,4.000000000000085,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,walk
C111_1585,1,1.07363176355993,9.177371573796611,1.716871731769597,0.13564619353586813,-0.09502275203413506,-0.15672157664954633,0.5612570993503666,0.709628772594034,0.267166774360965,0.08014446808821363,0.2608804930512211,0.06464963674408152,11.967875069126137,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,2.0000000000000426,walk
C111_1585,2,2.066504301474437,9.24805578997212,1.4232134559375869,0.06832365433557042,0.008098179105359588,0.027449369447255602,0.8487898126468489,1.398825796117243,0.3400165274586483,0.15027623366593337,0.423717940953494,0.2741261873667981,12.737773547384144,2.0000000000000426,4.000000000000085,2.0000000000000426,2.0000000000000426,4.000000000000085,2.0000000000000426,walk
